"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 22 14:51:40 UTC 2022","Thu Sep 22 14:51:44 UTC 2022","3463","","Main page ","","Main page ","Open URL/accept cookies","Open URL/accept cookies",""
"passed","Thu Sep 22 14:51:54 UTC 2022","Thu Sep 22 14:51:55 UTC 2022","892","","Main page ","","Main page ","Verify the redirection to 'Network' page","Verify the redirection to 'Network' page",""
"passed","Thu Sep 22 14:51:48 UTC 2022","Thu Sep 22 14:51:49 UTC 2022","376","","Main page ","","Main page ","Verify the pop-up functionality of the Solutions","Verify the pop-up functionality of the Solutions",""
"passed","Thu Sep 22 14:51:49 UTC 2022","Thu Sep 22 14:51:49 UTC 2022","337","","Main page ","","Main page ","Verify the pop-up functionality of the Resources","Verify the pop-up functionality of the Resources",""
"passed","Thu Sep 22 14:51:57 UTC 2022","Thu Sep 22 14:52:17 UTC 2022","20319","","Main page ","","Main page ","Check redirection to the 'Join to the waitlist' page and its activity","Check redirection to the 'Join to the waitlist' page and its activity",""
"passed","Thu Sep 22 14:51:50 UTC 2022","Thu Sep 22 14:51:51 UTC 2022","1498","","Main page ","","Main page ","Check redirection to the 'Products' page and its activity","Check redirection to the 'Products' page and its activity",""
"passed","Thu Sep 22 14:51:44 UTC 2022","Thu Sep 22 14:51:47 UTC 2022","3655","","Main page ","","Main page ","Verify functionality of Logo Icon 'Telnyx'","Verify functionality of Logo Icon 'Telnyx'",""
"passed","Thu Sep 22 14:51:49 UTC 2022","Thu Sep 22 14:51:50 UTC 2022","446","","Main page ","","Main page ","Verify the pop-up functionality of the Pricing","Verify the pop-up functionality of the Pricing",""
"passed","Thu Sep 22 14:51:51 UTC 2022","Thu Sep 22 14:51:53 UTC 2022","1713","","Main page ","","Main page ","Check redirection to the 'Solutions' page and its activity","Check redirection to the 'Solutions' page and its activity",""
"passed","Thu Sep 22 14:51:47 UTC 2022","Thu Sep 22 14:51:48 UTC 2022","399","","Main page ","","Main page ","Verify the ability of the head navigation  menu to appear and disappear","Verify the ability of the head navigation  menu to appear and disappear",""
"passed","Thu Sep 22 14:51:55 UTC 2022","Thu Sep 22 14:51:57 UTC 2022","1699","","Main page ","","Main page ","Check redirection to the 'Pricing' page and its activity","Check redirection to the 'Pricing' page and its activity",""
"passed","Thu Sep 22 14:51:48 UTC 2022","Thu Sep 22 14:51:48 UTC 2022","471","","Main page ","","Main page ","Verify the pop-up functionality of the 'Products'","Verify the pop-up functionality of the 'Products'",""
"passed","Thu Sep 22 14:51:49 UTC 2022","Thu Sep 22 14:51:49 UTC 2022","232","","Main page ","","Main page ","Verify the pop-up functionality of the Company","Verify the pop-up functionality of the Company",""
"passed","Thu Sep 22 14:51:53 UTC 2022","Thu Sep 22 14:51:54 UTC 2022","1483","","Main page ","","Main page ","Check redirection to the 'Use-cases' page and its activity","Check redirection to the 'Use-cases' page and its activity",""
